"ano_campeonato","data","rodada","estadio","publico","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante"
2018,"2018-04-15",1,"Estádio São Januário",7197,"Vasco da Gama","Atlético-MG","Zé Ricardo","Thiago Larghi",6,13,12950000,21850000,28.5,28.6,2,1,0,1
2018,"2018-05-06",4,"Estádio São Januário",3311,"Vasco da Gama","América-MG","Zé Ricardo","Enderson Moreira",7,3,11600000,9000000,28,29,4,1,0,1
2018,"2018-05-13",5,"Estádio São Januário",3542,"Vasco da Gama","EC Vitória","Zé Ricardo","Vágner Mancini",2,19,10550000,11080000,28.3,27.7,2,3,1,1
2018,"2018-05-31",8,"Estádio São Januário",4584,"Vasco da Gama","Paraná","Zé Ricardo","Rogério Micale",12,20,9750000,7700000,25.7,25.2,1,0,1,0
2018,"2018-06-03",9,"Estádio São Januário",9454,"Vasco da Gama","Botafogo","Zé Ricardo","Alberto Valentim",10,14,13350000,14050000,27.8,26.7,1,2,0,2
2018,"2018-06-10",11,"Estádio São Januário",8418,"Vasco da Gama","Sport Recife","","",12,2,NA,NA,NA,NA,3,2,2,1
2018,"2018-07-20",13,"Estádio São Januário",11901,"Vasco da Gama","Fluminense","","",11,13,NA,NA,NA,NA,1,1,0,0
2018,"2018-07-22",14,"Estádio São Januário",8242,"Vasco da Gama","Grêmio","","",11,4,NA,NA,NA,NA,1,0,1,0
2018,"2018-07-19",13,"Estádio Presidente Vargas",15197,"Ceará SC","Sport Recife","Lisca","Claudinei Oliveira",20,7,7800000,12600000,30.1,30.4,1,0,0,0
2018,"2018-08-09",20,"Estádio Presidente Vargas",18047,"Ceará SC","Santos FC","Lisca","Cuca",19,14,6430000,29600000,29.4,26.2,1,1,0,0
2018,"2018-04-15",1,"Estádio Manoel Barradas",13142,"EC Vitória","Flamengo","Vágner Mancini","Maurício Barbieri",10,9,8080000,55000000,26.3,28.4,2,2,1,1
2018,"2018-05-06",4,"Estádio Manoel Barradas",7030,"EC Vitória","Fluminense","Vágner Mancini","Abel Braga",17,12,11680000,9350000,26.4,25,1,2,1,0
2018,"2018-05-20",6,"Estádio Manoel Barradas",8371,"EC Vitória","Ceará SC","Vágner Mancini","Marcelo Chamusca",18,19,10580000,10180000,27.5,29.8,2,1,1,0
2018,"2018-05-31",8,"Estádio Manoel Barradas",5749,"EC Vitória","Internacional","Vágner Mancini","Odair Hellmann",14,8,12100000,28400000,26.7,27.3,2,3,1,2
2018,"2018-06-07",10,"Estádio Manoel Barradas",5459,"EC Vitória","Chapecoense","Vágner Mancini","Gilson Kleina",17,15,11050000,13650000,26.2,29.3,1,0,0,0
